sku;product_type;post_title;price;stock;post_parent;variation;var_color;var_size;images;default_attributes
SKU1;variation_master;t-shirt;;;;color|size;;;http://subliem.eemspc.nl/images/products/716-Superman_T-shirt.jpg;color->blue|size->medium
SKU2;product_variation;t-shirt;25;10;SKU1;;blue;large;;
SKU3;product_variation;t-shirt;25;10;SKU1;;blue;medium;;
SKU4;product_variation;t-shirt;25;10;SKU1;;blue;small;;
SKU5;product_variation;t-shirt;25;10;SKU1;;red;large;;
SKU6;product_variation;t-shirt;25;10;SKU1;;red;medium;;
SKU7;product_variation;t-shirt;25;10;SKU1;;red;small;;
SKU8;product_variation;t-shirt;25;10;SKU1;;white;large;;
SKU9;product_variation;t-shirt;25;10;SKU1;;white;medium;;
SKU10;product_variation;t-shirt;25;10;SKU1;;white;small;;
