post_title,post_name,post_content,post_status,post_parent,post_author,sku,visibility,stock,stock_status,manage_stock,regular_price,sale_price,images,tax:product_type,tax:product_cat,tax:product_tag,attribute:pa_size,attribute:pa_width,attribute:pa_height,attribute:pa_weight,attribute:pa_length,attribute:pa_length-washer,attribute:pa_thickness,attribute:pa_stone-diameter,attribute_data:pa_length,attribute_default:pa_length,attribute_data:pa_size,attribute_default:pa_size,attribute_original-url
"Förlovningsring 18k roséguld, rak 4 mm - Frost - Opal","Förlovningsring 18k roséguld, rak 4 mm - Frost - Opal","SAFIRA FROST - Opal
Förlovningsring rak i 18k roséguld med diamant-facetterat mönster. Ringen har en frostad yta med fin lyster.",publish,0,1,21888,visible,1,instock,no,2598,,http://aurelie.no/wp-content/uploads/safira/21708533-origpic-0bd690.jpg,variable,"Ringar|Ringar > Guldringar","Ringar|Ringar > Guldringar","45 / 14,3|45,5 / 14,5|46 / 14,6|46,5 / 14,8|47 / 15,0|47,5 / 15,1|48 / 15,3|48,5 / 15,5|49 / 15,6|49,5 / 15,8|50 / 15,9|50,5 / 16,1|51 / 16,2|51,5 / 16,4|52 / 16,5|52,5 / 16,7|53 / 16,8|53,5 / 17,0|54 / 17,2|54,5 / 17,4|55 / 17,5 (+300,00)|55,5 / 17,7 (+300,00)|56 / 17,8 (+300,00)|56,5 / 18,0 (+300,00)|57 / 18,1 (+300,00)|57,5 / 18,3 (+300,00)|58 / 18,4 (+300,00)|58,5 / 18,6 (+300,00)|59 / 18,8 (+300,00)|59,5 / 18,9 (+300,00)|60 / 19,1 (+300,00)|60,5 / 19,3 (+300,00)|61 / 19,4 (+300,00)|61,5 / 19,6 (+300,00)|62 / 19,7 (+300,00)|62,5 / 19,9 (+300,00)|63 / 20,0 (+300,00)|63,5 / 20,2 (+300,00)|64 / 20,3 (+300,00)|64,5 / 20,5 (+300,00)|65 / 20,7 (+300,00)|65,5 / 20,8 (+300,00)|66 / 21,0 (+300,00)|66,5 / 21,2 (+300,00)|67 / 21,3 (+300,00)|67,5 / 21,5 (+300,00)|68 / 21,6 (+300,00)|68,5 / 21,8 (+300,00)|69 / 22,0 (+300,00)|69,5 / 22,1 (+300,00)|70 / 22,3 (+300,00)|70,5 / 22,4 (+300,00)|71 / 22,6 (+300,00)|71,5 / 22,8 (+300,00)|72 / 22,9 (+300,00)|72,5 / 23,1 (+300,00)|73 / 23,2 (+300,00)|73,5 / 23,4 (+300,00)|74 / 23,6 (+300,00)|74,5 / 23,7 (+300,00)","4 mm","0,85 mm",,,,,,,,0|1|1,"45 / 14,3",http://www.safira.se/produkt/forlovningsringar/18k-guld/forlovningsring-18k-roseguld-rak-4-mm-frost-opal
"Förlovningsring 18k roséguld, rak 4 mm - Frost - Opal","Förlovningsring 18k roséguld, rak 4 mm - Frost - Opal","SAFIRA FROST - Opal
Förlovningsring rak i 18k roséguld med diamant-facetterat mönster. Ringen har en frostad yta med fin lyster.",publish,0,1,21889,visible,1,instock,no,2598,,http://aurelie.no/wp-content/uploads/safira/21708533-origpic-0bd690.jpg,variable,"Ringar|Ringar > Guldringar","Ringar|Ringar > Guldringar","45 / 14,3|45,5 / 14,5|46 / 14,6|46,5 / 14,8|47 / 15,0|47,5 / 15,1|48 / 15,3|48,5 / 15,5|49 / 15,6|49,5 / 15,8|50 / 15,9|50,5 / 16,1|51 / 16,2|51,5 / 16,4|52 / 16,5|52,5 / 16,7|53 / 16,8|53,5 / 17,0|54 / 17,2|54,5 / 17,4|55 / 17,5 (+300,00)|55,5 / 17,7 (+300,00)|56 / 17,8 (+300,00)|56,5 / 18,0 (+300,00)|57 / 18,1 (+300,00)|57,5 / 18,3 (+300,00)|58 / 18,4 (+300,00)|58,5 / 18,6 (+300,00)|59 / 18,8 (+300,00)|59,5 / 18,9 (+300,00)|60 / 19,1 (+300,00)|60,5 / 19,3 (+300,00)|61 / 19,4 (+300,00)|61,5 / 19,6 (+300,00)|62 / 19,7 (+300,00)|62,5 / 19,9 (+300,00)|63 / 20,0 (+300,00)|63,5 / 20,2 (+300,00)|64 / 20,3 (+300,00)|64,5 / 20,5 (+300,00)|65 / 20,7 (+300,00)|65,5 / 20,8 (+300,00)|66 / 21,0 (+300,00)|66,5 / 21,2 (+300,00)|67 / 21,3 (+300,00)|67,5 / 21,5 (+300,00)|68 / 21,6 (+300,00)|68,5 / 21,8 (+300,00)|69 / 22,0 (+300,00)|69,5 / 22,1 (+300,00)|70 / 22,3 (+300,00)|70,5 / 22,4 (+300,00)|71 / 22,6 (+300,00)|71,5 / 22,8 (+300,00)|72 / 22,9 (+300,00)|72,5 / 23,1 (+300,00)|73 / 23,2 (+300,00)|73,5 / 23,4 (+300,00)|74 / 23,6 (+300,00)|74,5 / 23,7 (+300,00)","4 mm","0,85 mm",,,,,,,,0|1|1,"45 / 14,3",http://www.safira.se/produkt/forlovningsringar/18k-guld/forlovningsring-18k-roseguld-rak-4-mm-frost-opal
"Förlovningsring 18k roséguld, rak 4 mm - Frost - Onyx","Förlovningsring 18k roséguld, rak 4 mm - Frost - Onyx","SAFIRA FROST - Onyx
Förlovningsring rak i 18k roséguld med diamant-facetterat mönster. Ringen har en frostad yta med fin lyster.",publish,0,1,22008,visible,1,instock,no,2598,,http://aurelie.no/wp-content/uploads/safira/21708532-origpic-0f59da.jpg,variable,"Ringar|Ringar > Guldringar","Ringar|Ringar > Guldringar","45 / 14,3|45,5 / 14,5|46 / 14,6|46,5 / 14,8|47 / 15,0|47,5 / 15,1|48 / 15,3|48,5 / 15,5|49 / 15,6|49,5 / 15,8|50 / 15,9|50,5 / 16,1|51 / 16,2|51,5 / 16,4|52 / 16,5|52,5 / 16,7|53 / 16,8|53,5 / 17,0|54 / 17,2|54,5 / 17,4|55 / 17,5 (+300,00)|55,5 / 17,7 (+300,00)|56 / 17,8 (+300,00)|56,5 / 18,0 (+300,00)|57 / 18,1 (+300,00)|57,5 / 18,3 (+300,00)|58 / 18,4 (+300,00)|58,5 / 18,6 (+300,00)|59 / 18,8 (+300,00)|59,5 / 18,9 (+300,00)|60 / 19,1 (+300,00)|60,5 / 19,3 (+300,00)|61 / 19,4 (+300,00)|61,5 / 19,6 (+300,00)|62 / 19,7 (+300,00)|62,5 / 19,9 (+300,00)|63 / 20,0 (+300,00)|63,5 / 20,2 (+300,00)|64 / 20,3 (+300,00)|64,5 / 20,5 (+300,00)|65 / 20,7 (+300,00)|65,5 / 20,8 (+300,00)|66 / 21,0 (+300,00)|66,5 / 21,2 (+300,00)|67 / 21,3 (+300,00)|67,5 / 21,5 (+300,00)|68 / 21,6 (+300,00)|68,5 / 21,8 (+300,00)|69 / 22,0 (+300,00)|69,5 / 22,1 (+300,00)|70 / 22,3 (+300,00)|70,5 / 22,4 (+300,00)|71 / 22,6 (+300,00)|71,5 / 22,8 (+300,00)|72 / 22,9 (+300,00)|72,5 / 23,1 (+300,00)|73 / 23,2 (+300,00)|73,5 / 23,4 (+300,00)|74 / 23,6 (+300,00)|74,5 / 23,7 (+300,00)","4 mm","0,85 mm",,,,,,,,0|1|1,"45 / 14,3",http://www.safira.se/produkt/forlovningsringar/18k-guld/forlovningsring-18k-roseguld-rak-4-mm-frost-onyx
"Förlovningsring 18k roséguld, rak 4 mm - Frost - Onyx","Förlovningsring 18k roséguld, rak 4 mm - Frost - Onyx","SAFIRA FROST - Onyx
Förlovningsring rak i 18k roséguld med diamant-facetterat mönster. Ringen har en frostad yta med fin lyster.",publish,0,1,22009,visible,1,instock,no,2598,,http://aurelie.no/wp-content/uploads/safira/21708532-origpic-0f59da.jpg,variable,"Ringar|Ringar > Guldringar","Ringar|Ringar > Guldringar","45 / 14,3|45,5 / 14,5|46 / 14,6|46,5 / 14,8|47 / 15,0|47,5 / 15,1|48 / 15,3|48,5 / 15,5|49 / 15,6|49,5 / 15,8|50 / 15,9|50,5 / 16,1|51 / 16,2|51,5 / 16,4|52 / 16,5|52,5 / 16,7|53 / 16,8|53,5 / 17,0|54 / 17,2|54,5 / 17,4|55 / 17,5 (+300,00)|55,5 / 17,7 (+300,00)|56 / 17,8 (+300,00)|56,5 / 18,0 (+300,00)|57 / 18,1 (+300,00)|57,5 / 18,3 (+300,00)|58 / 18,4 (+300,00)|58,5 / 18,6 (+300,00)|59 / 18,8 (+300,00)|59,5 / 18,9 (+300,00)|60 / 19,1 (+300,00)|60,5 / 19,3 (+300,00)|61 / 19,4 (+300,00)|61,5 / 19,6 (+300,00)|62 / 19,7 (+300,00)|62,5 / 19,9 (+300,00)|63 / 20,0 (+300,00)|63,5 / 20,2 (+300,00)|64 / 20,3 (+300,00)|64,5 / 20,5 (+300,00)|65 / 20,7 (+300,00)|65,5 / 20,8 (+300,00)|66 / 21,0 (+300,00)|66,5 / 21,2 (+300,00)|67 / 21,3 (+300,00)|67,5 / 21,5 (+300,00)|68 / 21,6 (+300,00)|68,5 / 21,8 (+300,00)|69 / 22,0 (+300,00)|69,5 / 22,1 (+300,00)|70 / 22,3 (+300,00)|70,5 / 22,4 (+300,00)|71 / 22,6 (+300,00)|71,5 / 22,8 (+300,00)|72 / 22,9 (+300,00)|72,5 / 23,1 (+300,00)|73 / 23,2 (+300,00)|73,5 / 23,4 (+300,00)|74 / 23,6 (+300,00)|74,5 / 23,7 (+300,00)","4 mm","0,85 mm",,,,,,,,0|1|1,"45 / 14,3",http://www.safira.se/produkt/forlovningsringar/18k-guld/forlovningsring-18k-roseguld-rak-4-mm-frost-onyx
"Förlovningsring 18k roséguld, rak 4 mm - Frost - Melanite","Förlovningsring 18k roséguld, rak 4 mm - Frost - Melanite","SAFIRA FROST - Melanite
Förlovningsring rak i 18k roséguld med diamant-facetterat mönster. Ringen har en frostad yta med fin lyster.",publish,0,1,22128,visible,1,instock,no,2598,,http://aurelie.no/wp-content/uploads/safira/21708529-origpic-a6042e.jpg,variable,"Ringar|Ringar > Guldringar","Ringar|Ringar > Guldringar","45 / 14,3|45,5 / 14,5|46 / 14,6|46,5 / 14,8|47 / 15,0|47,5 / 15,1|48 / 15,3|48,5 / 15,5|49 / 15,6|49,5 / 15,8|50 / 15,9|50,5 / 16,1|51 / 16,2|51,5 / 16,4|52 / 16,5|52,5 / 16,7|53 / 16,8|53,5 / 17,0|54 / 17,2|54,5 / 17,4|55 / 17,5 (+300,00)|55,5 / 17,7 (+300,00)|56 / 17,8 (+300,00)|56,5 / 18,0 (+300,00)|57 / 18,1 (+300,00)|57,5 / 18,3 (+300,00)|58 / 18,4 (+300,00)|58,5 / 18,6 (+300,00)|59 / 18,8 (+300,00)|59,5 / 18,9 (+300,00)|60 / 19,1 (+300,00)|60,5 / 19,3 (+300,00)|61 / 19,4 (+300,00)|61,5 / 19,6 (+300,00)|62 / 19,7 (+300,00)|62,5 / 19,9 (+300,00)|63 / 20,0 (+300,00)|63,5 / 20,2 (+300,00)|64 / 20,3 (+300,00)|64,5 / 20,5 (+300,00)|65 / 20,7 (+300,00)|65,5 / 20,8 (+300,00)|66 / 21,0 (+300,00)|66,5 / 21,2 (+300,00)|67 / 21,3 (+300,00)|67,5 / 21,5 (+300,00)|68 / 21,6 (+300,00)|68,5 / 21,8 (+300,00)|69 / 22,0 (+300,00)|69,5 / 22,1 (+300,00)|70 / 22,3 (+300,00)|70,5 / 22,4 (+300,00)|71 / 22,6 (+300,00)|71,5 / 22,8 (+300,00)|72 / 22,9 (+300,00)|72,5 / 23,1 (+300,00)|73 / 23,2 (+300,00)|73,5 / 23,4 (+300,00)|74 / 23,6 (+300,00)|74,5 / 23,7 (+300,00)","4 mm","0,85 mm",,,,,,,,0|1|1,"45 / 14,3",http://www.safira.se/produkt/forlovningsringar/18k-guld/forlovningsring-18k-roseguld-rak-4-mm-frost-melanite
"Förlovningsring 18k roséguld, rak 4 mm - Frost - Melanite","Förlovningsring 18k roséguld, rak 4 mm - Frost - Melanite","SAFIRA FROST - Melanite
Förlovningsring rak i 18k roséguld med diamant-facetterat mönster. Ringen har en frostad yta med fin lyster.",publish,0,1,22129,visible,1,instock,no,2598,,http://aurelie.no/wp-content/uploads/safira/21708529-origpic-a6042e.jpg,variable,"Ringar|Ringar > Guldringar","Ringar|Ringar > Guldringar","45 / 14,3|45,5 / 14,5|46 / 14,6|46,5 / 14,8|47 / 15,0|47,5 / 15,1|48 / 15,3|48,5 / 15,5|49 / 15,6|49,5 / 15,8|50 / 15,9|50,5 / 16,1|51 / 16,2|51,5 / 16,4|52 / 16,5|52,5 / 16,7|53 / 16,8|53,5 / 17,0|54 / 17,2|54,5 / 17,4|55 / 17,5 (+300,00)|55,5 / 17,7 (+300,00)|56 / 17,8 (+300,00)|56,5 / 18,0 (+300,00)|57 / 18,1 (+300,00)|57,5 / 18,3 (+300,00)|58 / 18,4 (+300,00)|58,5 / 18,6 (+300,00)|59 / 18,8 (+300,00)|59,5 / 18,9 (+300,00)|60 / 19,1 (+300,00)|60,5 / 19,3 (+300,00)|61 / 19,4 (+300,00)|61,5 / 19,6 (+300,00)|62 / 19,7 (+300,00)|62,5 / 19,9 (+300,00)|63 / 20,0 (+300,00)|63,5 / 20,2 (+300,00)|64 / 20,3 (+300,00)|64,5 / 20,5 (+300,00)|65 / 20,7 (+300,00)|65,5 / 20,8 (+300,00)|66 / 21,0 (+300,00)|66,5 / 21,2 (+300,00)|67 / 21,3 (+300,00)|67,5 / 21,5 (+300,00)|68 / 21,6 (+300,00)|68,5 / 21,8 (+300,00)|69 / 22,0 (+300,00)|69,5 / 22,1 (+300,00)|70 / 22,3 (+300,00)|70,5 / 22,4 (+300,00)|71 / 22,6 (+300,00)|71,5 / 22,8 (+300,00)|72 / 22,9 (+300,00)|72,5 / 23,1 (+300,00)|73 / 23,2 (+300,00)|73,5 / 23,4 (+300,00)|74 / 23,6 (+300,00)|74,5 / 23,7 (+300,00)","4 mm","0,85 mm",,,,,,,,0|1|1,"45 / 14,3",http://www.safira.se/produkt/forlovningsringar/18k-guld/forlovningsring-18k-roseguld-rak-4-mm-frost-melanite
"Förlovningsring 18k vitguld, rak 6 mm - Frost - Diamond","Förlovningsring 18k vitguld, rak 6 mm - Frost - Diamond","SAFIRA FROST - Diamond
Förlovningsring rak i 18k vitguld med diamant-facetterat mönster. Ringen har en frostad yta med fin lyster.",publish,0,1,22248,visible,1,instock,no,3898,,http://aurelie.no/wp-content/uploads/safira/21676080-origpic-91a4d7.jpg,variable,"Ringar|Ringar > Guldringar","Ringar|Ringar > Guldringar","45 / 14,3|45,5 / 14,5|46 / 14,6|46,5 / 14,8|47 / 15,0|47,5 / 15,1|48 / 15,3|48,5 / 15,5|49 / 15,6|49,5 / 15,8|50 / 15,9|50,5 / 16,1|51 / 16,2|51,5 / 16,4|52 / 16,5|52,5 / 16,7|53 / 16,8|53,5 / 17,0|54 / 17,2|54,5 / 17,4|55 / 17,5 (+500,00)|55,5 / 17,7 (+500,00)|56 / 17,8 (+500,00)|56,5 / 18,0 (+500,00)|57 / 18,1 (+500,00)|57,5 / 18,3 (+500,00)|58 / 18,4 (+500,00)|58,5 / 18,6 (+500,00)|59 / 18,8 (+500,00)|59,5 / 18,9 (+500,00)|60 / 19,1 (+500,00)|60,5 / 19,3 (+500,00)|61 / 19,4 (+500,00)|61,5 / 19,6 (+500,00)|62 / 19,7 (+500,00)|62,5 / 19,9 (+500,00)|63 / 20,0 (+500,00)|63,5 / 20,2 (+500,00)|64 / 20,3 (+500,00)|64,5 / 20,5 (+500,00)|65 / 20,7 (+500,00)|65,5 / 20,8 (+500,00)|66 / 21,0 (+500,00)|66,5 / 21,2 (+500,00)|67 / 21,3 (+500,00)|67,5 / 21,5 (+500,00)|68 / 21,6 (+500,00)|68,5 / 21,8 (+500,00)|69 / 22,0 (+500,00)|69,5 / 22,1 (+500,00)|70 / 22,3 (+500,00)|70,5 / 22,4 (+500,00)|71 / 22,6 (+500,00)|71,5 / 22,8 (+500,00)|72 / 22,9 (+500,00)|72,5 / 23,1 (+500,00)|73 / 23,2 (+500,00)|73,5 / 23,4 (+500,00)|74 / 23,6 (+500,00)|74,5 / 23,7 (+500,00)","6 mm","0,95 mm",,,,,,,,0|1|1,"45 / 14,3",http://www.safira.se/produkt/forlovningsringar/18k-guld/forlovningsring-18k-vitguld-rak-6-mm-frost-diamond
"Förlovningsring 18k vitguld, rak 6 mm - Frost - Diamond","Förlovningsring 18k vitguld, rak 6 mm - Frost - Diamond","SAFIRA FROST - Diamond
Förlovningsring rak i 18k vitguld med diamant-facetterat mönster. Ringen har en frostad yta med fin lyster.",publish,0,1,22249,visible,1,instock,no,3898,,http://aurelie.no/wp-content/uploads/safira/21676080-origpic-91a4d7.jpg,variable,"Ringar|Ringar > Guldringar","Ringar|Ringar > Guldringar","45 / 14,3|45,5 / 14,5|46 / 14,6|46,5 / 14,8|47 / 15,0|47,5 / 15,1|48 / 15,3|48,5 / 15,5|49 / 15,6|49,5 / 15,8|50 / 15,9|50,5 / 16,1|51 / 16,2|51,5 / 16,4|52 / 16,5|52,5 / 16,7|53 / 16,8|53,5 / 17,0|54 / 17,2|54,5 / 17,4|55 / 17,5 (+500,00)|55,5 / 17,7 (+500,00)|56 / 17,8 (+500,00)|56,5 / 18,0 (+500,00)|57 / 18,1 (+500,00)|57,5 / 18,3 (+500,00)|58 / 18,4 (+500,00)|58,5 / 18,6 (+500,00)|59 / 18,8 (+500,00)|59,5 / 18,9 (+500,00)|60 / 19,1 (+500,00)|60,5 / 19,3 (+500,00)|61 / 19,4 (+500,00)|61,5 / 19,6 (+500,00)|62 / 19,7 (+500,00)|62,5 / 19,9 (+500,00)|63 / 20,0 (+500,00)|63,5 / 20,2 (+500,00)|64 / 20,3 (+500,00)|64,5 / 20,5 (+500,00)|65 / 20,7 (+500,00)|65,5 / 20,8 (+500,00)|66 / 21,0 (+500,00)|66,5 / 21,2 (+500,00)|67 / 21,3 (+500,00)|67,5 / 21,5 (+500,00)|68 / 21,6 (+500,00)|68,5 / 21,8 (+500,00)|69 / 22,0 (+500,00)|69,5 / 22,1 (+500,00)|70 / 22,3 (+500,00)|70,5 / 22,4 (+500,00)|71 / 22,6 (+500,00)|71,5 / 22,8 (+500,00)|72 / 22,9 (+500,00)|72,5 / 23,1 (+500,00)|73 / 23,2 (+500,00)|73,5 / 23,4 (+500,00)|74 / 23,6 (+500,00)|74,5 / 23,7 (+500,00)","6 mm","0,95 mm",,,,,,,,0|1|1,"45 / 14,3",http://www.safira.se/produkt/forlovningsringar/18k-guld/forlovningsring-18k-vitguld-rak-6-mm-frost-diamond
"Förlovningsring 18k vitguld, rak 6 mm - Frost - Pearl","Förlovningsring 18k vitguld, rak 6 mm - Frost - Pearl","SAFIRA FROST - Pearl
Förlovningsring rak i 18k vitguld med diamant-facetterat mönster. Ringen har en frostad yta med fin lyster.",publish,0,1,22368,visible,1,instock,no,3898,,http://aurelie.no/wp-content/uploads/safira/21676078-origpic-00ed9b.jpg,variable,"Ringar|Ringar > Guldringar","Ringar|Ringar > Guldringar","45 / 14,3|45,5 / 14,5|46 / 14,6|46,5 / 14,8|47 / 15,0|47,5 / 15,1|48 / 15,3|48,5 / 15,5|49 / 15,6|49,5 / 15,8|50 / 15,9|50,5 / 16,1|51 / 16,2|51,5 / 16,4|52 / 16,5|52,5 / 16,7|53 / 16,8|53,5 / 17,0|54 / 17,2|54,5 / 17,4|55 / 17,5 (+500,00)|55,5 / 17,7 (+500,00)|56 / 17,8 (+500,00)|56,5 / 18,0 (+500,00)|57 / 18,1 (+500,00)|57,5 / 18,3 (+500,00)|58 / 18,4 (+500,00)|58,5 / 18,6 (+500,00)|59 / 18,8 (+500,00)|59,5 / 18,9 (+500,00)|60 / 19,1 (+500,00)|60,5 / 19,3 (+500,00)|61 / 19,4 (+500,00)|61,5 / 19,6 (+500,00)|62 / 19,7 (+500,00)|62,5 / 19,9 (+500,00)|63 / 20,0 (+500,00)|63,5 / 20,2 (+500,00)|64 / 20,3 (+500,00)|64,5 / 20,5 (+500,00)|65 / 20,7 (+500,00)|65,5 / 20,8 (+500,00)|66 / 21,0 (+500,00)|66,5 / 21,2 (+500,00)|67 / 21,3 (+500,00)|67,5 / 21,5 (+500,00)|68 / 21,6 (+500,00)|68,5 / 21,8 (+500,00)|69 / 22,0 (+500,00)|69,5 / 22,1 (+500,00)|70 / 22,3 (+500,00)|70,5 / 22,4 (+500,00)|71 / 22,6 (+500,00)|71,5 / 22,8 (+500,00)|72 / 22,9 (+500,00)|72,5 / 23,1 (+500,00)|73 / 23,2 (+500,00)|73,5 / 23,4 (+500,00)|74 / 23,6 (+500,00)|74,5 / 23,7 (+500,00)","6 mm","0,95 mm",,,,,,,,0|1|1,"45 / 14,3",http://www.safira.se/produkt/forlovningsringar/18k-guld/forlovningsring-18k-vitguld-rak-6-mm-frost-pearl
"Förlovningsring 18k vitguld, rak 6 mm - Frost - Pearl","Förlovningsring 18k vitguld, rak 6 mm - Frost - Pearl","SAFIRA FROST - Pearl
Förlovningsring rak i 18k vitguld med diamant-facetterat mönster. Ringen har en frostad yta med fin lyster.",publish,0,1,22369,visible,1,instock,no,3898,,http://aurelie.no/wp-content/uploads/safira/21676078-origpic-00ed9b.jpg,variable,"Ringar|Ringar > Guldringar","Ringar|Ringar > Guldringar","45 / 14,3|45,5 / 14,5|46 / 14,6|46,5 / 14,8|47 / 15,0|47,5 / 15,1|48 / 15,3|48,5 / 15,5|49 / 15,6|49,5 / 15,8|50 / 15,9|50,5 / 16,1|51 / 16,2|51,5 / 16,4|52 / 16,5|52,5 / 16,7|53 / 16,8|53,5 / 17,0|54 / 17,2|54,5 / 17,4|55 / 17,5 (+500,00)|55,5 / 17,7 (+500,00)|56 / 17,8 (+500,00)|56,5 / 18,0 (+500,00)|57 / 18,1 (+500,00)|57,5 / 18,3 (+500,00)|58 / 18,4 (+500,00)|58,5 / 18,6 (+500,00)|59 / 18,8 (+500,00)|59,5 / 18,9 (+500,00)|60 / 19,1 (+500,00)|60,5 / 19,3 (+500,00)|61 / 19,4 (+500,00)|61,5 / 19,6 (+500,00)|62 / 19,7 (+500,00)|62,5 / 19,9 (+500,00)|63 / 20,0 (+500,00)|63,5 / 20,2 (+500,00)|64 / 20,3 (+500,00)|64,5 / 20,5 (+500,00)|65 / 20,7 (+500,00)|65,5 / 20,8 (+500,00)|66 / 21,0 (+500,00)|66,5 / 21,2 (+500,00)|67 / 21,3 (+500,00)|67,5 / 21,5 (+500,00)|68 / 21,6 (+500,00)|68,5 / 21,8 (+500,00)|69 / 22,0 (+500,00)|69,5 / 22,1 (+500,00)|70 / 22,3 (+500,00)|70,5 / 22,4 (+500,00)|71 / 22,6 (+500,00)|71,5 / 22,8 (+500,00)|72 / 22,9 (+500,00)|72,5 / 23,1 (+500,00)|73 / 23,2 (+500,00)|73,5 / 23,4 (+500,00)|74 / 23,6 (+500,00)|74,5 / 23,7 (+500,00)","6 mm","0,95 mm",,,,,,,,0|1|1,"45 / 14,3",http://www.safira.se/produkt/forlovningsringar/18k-guld/forlovningsring-18k-vitguld-rak-6-mm-frost-pearl
