post_title,post_name,post_content,post_status,post_parent,post_author,sku,visibility,stock,stock_status,manage_stock,regular_price,sale_price,images,tax:product_type,tax:product_cat,tax:product_tag,attribute:pa_size,attribute:pa_width,attribute:pa_height,attribute:pa_weight,attribute:pa_length,attribute:pa_length-washer,attribute:pa_thickness,attribute:pa_stone-diameter,attribute_data:pa_length,attribute_default:pa_length,attribute_data:pa_size,attribute_default:pa_size,attribute_original-url
Sjarm Link 19 cm sølv,Sjarm Link 19 cm sølv,Ankarlänk för berlocker i 925 sterling silver.,publish,0,1,10004,visible,1,instock,no,220,,http://aurelie.no/wp-content/uploads/safira/12533203-origpic-0a9b6b.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,,,,,,,,,http://www.safira.se/produkt/armband/berlocklank-19-cm-925-sterling-silver
Armbånd i 925 sølv,Armbånd i 925 sølv,Armband i 925 sterling silver med hjärtan och blommor.,publish,0,1,10006,visible,1,instock,no,170,,http://aurelie.no/wp-content/uploads/safira/13229398-origpic-e8a631.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,,,,,,,,,http://www.safira.se/produkt/armband/silver/armband-i-925-sterling-silver
Armbånd for barn med rosa sommerfugler i sølv,Armbånd for barn med rosa sommerfugler i sølv,Armband i 925 sterling silver för barn. På armbandet sitter tre rosa fjärilar.,publish,0,1,10007,visible,1,instock,no,170,,http://aurelie.no/wp-content/uploads/safira/13247136-origpic-1a5c24.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv|ugle,,,,,,,,,,,,,http://www.safira.se/produkt/barnsmycken/armband/armband-for-barn-med-rosa-fjarilar-i-925-sterling-silver
Armbånd for barn med rosa jordbær i sølv,Armbånd for barn med rosa jordbær i sølv,Armband i 925 sterling silver för barn. På armbandet sitter fyra rosa jordgubbar.,publish,0,1,10012,visible,1,instock,no,170,,http://aurelie.no/wp-content/uploads/safira/13247156-origpic-07900c.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,,,,,,,,,http://www.safira.se/produkt/barnsmycken/armband/armband-for-barn-med-rosa-jordgubbar-i-925-sterling-silver
Armbånd i 925 sølv med krystaller,Armbånd i 925 sølv med krystaller,Armband i 925 sterling silver med kristaller.,publish,0,1,10013,visible,1,instock,no,1275,,http://aurelie.no/wp-content/uploads/safira/13244710-origpic-b2e26e.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,,,,,,,,,http://www.safira.se/produkt/armband/silver/armband-i-925-sterling-silver-med-kristaller
KVINNER - Armbånd stretch med blå krystall 16 cm ball kjede i sølv,KVINNER - Armbånd stretch med blå krystall 16 cm ball kjede i sølv,DAM - Armband stretch kulkedja med en blå kristall 925 sterling silver.,publish,0,1,10014,visible,1,instock,no,255,,http://aurelie.no/wp-content/uploads/safira/20232643-origpic-7011ba.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,16 cm,,,,,,,,http://www.safira.se/produkt/armband/silver/dam-armband-stretch-med-ljusbla-kristall-16-cm-kulkedja-i-silver
KVINNER - Armbånd stretch med kryss 16 cm ball kjede i sølv,KVINNER - Armbånd stretch med kryss 16 cm ball kjede i sølv,DAM - Armband stretch kulkedja med ett kors 925 sterling silver.,publish,0,1,10015,visible,1,instock,no,340,,http://aurelie.no/wp-content/uploads/safira/20232637-origpic-ad0631.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,16 cm,,,,,,,,http://www.safira.se/produkt/armband/silver/dam-armband-stretch-med-kors-16-cm-kulkedja-i-silver
Design Bracelet 21 cm i 925 sølv,Design Bracelet 21 cm i 925 sølv,Armband i 925 sterling silver.,publish,0,1,10016,visible,1,instock,no,935,,http://aurelie.no/wp-content/uploads/safira/13229381-origpic-3f1e89.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,,,,,,,,,http://www.safira.se/produkt/silversmycken/design-armband-21-cm-i-925-sterling-silver
KVINNER - Armbånd strekk 16 cm ball kjede i sølv,KVINNER - Armbånd strekk 16 cm ball kjede i sølv,DAM - Armband stretch kulkedja 925 sterling silver.,publish,0,1,10017,visible,1,instock,no,340,,http://aurelie.no/wp-content/uploads/safira/20232631-origpic-92a2e1.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,16 cm,,,,,,,,http://www.safira.se/produkt/armband/silver/dam-armband-stretch-16-cm-kulkedja-i-silver
KVINNER - Armbånd stretch med hvit krystall 16 cm ball kjede i sølv,KVINNER - Armbånd stretch med hvit krystall 16 cm ball kjede i sølv,DAM - Armband stretch kulkedja med en vit kristall 925 sterling silver.,publish,0,1,10020,visible,1,instock,no,255,,http://aurelie.no/wp-content/uploads/safira/20232638-origpic-31ba61.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,16 cm,,,,,,,,http://www.safira.se/produkt/armband/silver/dam-armband-stretch-med-vit-kristall-16-cm-kulkedja-i-silver
Design Bracelet 20 cm i 925 sølv,Design Bracelet 20 cm i 925 sølv,Armband i 925 sterling silver.,publish,0,1,10021,visible,1,instock,no,935,,http://aurelie.no/wp-content/uploads/safira/13229387-origpic-13ee62.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,,,,,,,,,http://www.safira.se/produkt/silversmycken/design-armband-20-cm-i-925-sterling-silver
KVINNER - Armbånd stretch med lys blå krystall 16 cm ball kjede i sølv,KVINNER - Armbånd stretch med lys blå krystall 16 cm ball kjede i sølv,DAM - Armband stretch kulkedja med en ljusblå kristall 925 sterling silver.,publish,0,1,10023,visible,1,instock,no,255,,http://aurelie.no/wp-content/uploads/safira/20232642-origpic-012c34.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,16 cm,,,,,,,,http://www.safira.se/produkt/student/dam-armband-stretch-med-ljusbla-kristall-16-cm-kulkedja-i-silver
Design-armbånd 19 cm i 925 sølv,Design-armbånd 19 cm i 925 sølv,Armband i 925 sterling silver.,publish,0,1,10024,visible,1,instock,no,1445,,http://aurelie.no/wp-content/uploads/safira/13229389-origpic-8a898e.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,,,,,,,,,http://www.safira.se/produkt/silversmycken/design-armband-19-cm-i-925-sterling-silver
Design Bracelet 18 cm i 925 sølv,Design Bracelet 18 cm i 925 sølv,Armband i 925 sterling silver.,publish,0,1,10025,visible,1,instock,no,935,,http://aurelie.no/wp-content/uploads/safira/13229380-origpic-2bc0dc.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,,,,,,,,,http://www.safira.se/produkt/silversmycken/design-armband-18-cm-i-925-sterling-silver
KVINNER - Armbånd stretch med rosa krystall 16 cm ball kjede i sølv,KVINNER - Armbånd stretch med rosa krystall 16 cm ball kjede i sølv,DAM - Armband stretch kulkedja med en rosa kristall 925 sterling silver.,publish,0,1,10031,visible,1,instock,no,255,,http://aurelie.no/wp-content/uploads/safira/20232640-origpic-e44797.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,16 cm,,,,,,,,http://www.safira.se/produkt/armband/silver/dam-armband-stretch-med-rosa-kristall-16-cm-kulkedja-i-silver
Design-armbånd i 925 sølv,Design-armbånd i 925 sølv,Armband i 925 sterling silver.,publish,0,1,10032,visible,1,instock,no,935,,http://aurelie.no/wp-content/uploads/safira/13229364-origpic-dba241.jpg,simple,Armbånd|Armbånd > Sølvarmbånd,armbånd|sølvarmbånd|925 sølv,,,,,,,,,,,,,http://www.safira.se/produkt/silversmycken/design-armband-i-925-sterling-silver
