Parent,parent_sku,post_status,sku,regular_price,sale_price,meta:attribute_pa_length,meta:attribute_pa_size
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"48 / 15,3"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"49 / 15,6"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"50 / 15,9"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"51 / 16,2"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"52 / 16,5"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"53 / 16,8"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"54 / 17,2"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"55 / 17,5"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"56 / 17,8"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"57 / 18,1"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"58 / 18,4"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"59 / 18,8"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"60 / 19,1"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"61 / 19,4"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"62 / 19,7"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"63 / 20,0"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"64 / 20,3"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"65 / 20,6"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"66 / 21,0"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"67 / 21,3"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"68 / 21,6"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"49 / 15,6"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"49 / 15,6"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"50 / 15,9"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"50 / 15,9"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"51 / 16,2"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"51 / 16,2"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"52 / 16,5"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"52 / 16,5"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"53 / 16,8"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"53 / 16,8"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"54 / 17,2"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"54 / 17,2"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"55 / 17,5"
"Forlovelsesring av stål, buet 6 mm",11167,publish,,198,,,"55 / 17,5"
