SKU,Item code,Name,Category,pa_høyde-(cm),pa_bredde-(cm),pa_kjedelengde-(cm),Price,Total Price USD,Image,Tags,Description,,,
2161,BA016-950,Ankelkjede i sølv med hjerter og beads,Ankelkjeder,,,24,555,5.376536313,3625.jpg|3627.jpg,"ankelkjede,sterling sølv,hjerte",,,,
2162,BA018-750,Ankelkjede i sølv med hjerter,Ankelkjeder,,,24,565,4.511955307,3557.jpg|3559.jpg,"anklet,sterling sølv,hjerte",,,,
2163,BGL016-2200,Armbånd i sølv,Armbånd,,,20,610,3.008715084,3499.jpg,"armbånd,sterling sølv",One-size.,,,
2164,BGL019-2500,Sølvarmbånd,Armbånd,,,17,500,17.08692737,3493.jpg|3495.jpg,"armbånd,sterling sølv,hjerte",,,,
2165,BM016-2200,Panserarmbånd i sølv,Armbånd,,,21.5,555,16.3575419,3725.jpg|3727.jpg,"sterling sølv,armbånd,panserarmbånd,mann",,,,
2166,BRW045-1400,Sølvarmbånd med hjerter,Armbånd,,,19,500,6.166256983,3620.jpg|3623.jpg,"armbånd,ankerarmbånd,sterling sølv,hjerte",,,,
2167,BRW090-1800,Hjertearmbånd i sølv,Armbånd,,,19,480,8.947486034,3574.jpg|3579.jpg,"armbånd,sterling sølv,hjerte",Armbånd med perler omkranset av sølvbelagte blomster,,,
2168,BRW117-1200,Bar link armbånd i sølv,Armbånd,,,18,480,11.3877095,3510.jpg|3511.jpg,"armbånd,sterling sølv,bar",,,,
2170,ED009-550,Hjerte-ørepynt i sølv,Ørepynt,4,1,,535,2.592178771,,"øredobber,sterling sølv,rund,hjerte",,,,
2171,ED034-500,Hjerte-ørepynt i sølv,Ørepynt,1.5,0.9,,535,2.708826816,,"øredobber,sterling sølv,hjerte",,,,
2172,EHD005-400,Hjerteformet ørepynt i sølv,Ørepynt,2,1,,535,1.373854749,3282.jpg,"ørepynt,sterling sølv",,,,
