         SKU;Item code;Title;Category;Height  (cm);Width  (cm);Chain length (cm);Chain width;NOK;Total Price USD;Image;Tags;Description;;;
2161;BA016-950;Ankelkjede i sõlv med hjerter og beads;Ankelkjeder;;;24;;555;5,376536313;3625.jpg|3627.jpg;ankelkjede,sterling sõlv,hjerte;;;;
2162;BA018-750;Ankelkjede i sõlv med hjerter;Ankelkjeder;;;24;;565;4,511955307;3557.jpg|3559.jpg;anklet,sterling sõlv,hjerte;;;;
2163;BGL016-2200;ArmbÜnd i sõlv;ArmbÜnd;;;20;;610;3,008715084;3499.jpg;armbÜnd,sterling sõlv;One-size.;;;
2164;BGL019-2500;SõlvarmbÜnd;ArmbÜnd;;;17;;500;17,08692737;3493.jpg|3495.jpg;armbÜnd,sterling sõlv,hjerte;;;;
2165;BM016-2200;PanserarmbÜnd i sõlv;ArmbÜnd;;;21,5;;555;16,3575419;3725.jpg|3727.jpg;sterling sõlv,armbÜnd,panserarmbÜnd,mann;;;;
2166;BRW045-1400;SõlvarmbÜnd med hjerter;ArmbÜnd;;;19;;500;6,166256983;3620.jpg|3623.jpg;armbÜnd,ankerarmbÜnd,sterling sõlv,hjerte;;;;
2167;BRW090-1800;HjertearmbÜnd i sõlv;ArmbÜnd;;;19;;480;8,947486034;3574.jpg|3579.jpg;armbÜnd,sterling sõlv,hjerte;ArmbÜnd med perler omkranset av sõlvbelagte blomster;;;
2168;BRW117-1200;Bar link armbÜnd i sõlv;ArmbÜnd;;;18;;480;11,3877095;3510.jpg|3511.jpg;armbÜnd,sterling sõlv,bar;;;;
2170;ED009-550;Hjerte-õrepynt i sõlv;ùrepynt;4;1;;;535;2,592178771;;õredobber,sterling sõlv,rund,hjerte;;;;
2171;ED034-500;Hjerte-õrepynt i sõlv;ùrepynt;1,5;0,9;;;535;2,708826816;;õredobber,sterling sõlv,hjerte;;;;
2172;EHD005-400;Hjerteformet õrepynt i sõlv;ùrepynt;2;1;;;535;1,373854749;3282.jpg;õrepynt,sterling sõlv;;;;
2173;EHD006-350;Sõlvanheng med kors;ùrepynt;3;1;;;520;1,439106145;3292.jpg|3298.jpg;õrepynt,sterling sõlv,kors;;;;
2174;EHD008-400;ùrepynt i sõlv formet som discoballer;ùrepynt;2,5;0,75;;;535;2,125586592;3155.jpg;õrepynt,sterling sõlv,baller,krok;;;;
2175;EHD037-600;ùreringer i sõlv med hjerter;ùrepynt;5;0,75;;;535;2,838435754;3376.jpg;õrepynt,sterling sõlv,hjerte,krok;;;;
2176;EHD040-600;Diamantformet õrepynt i sõlv;ùrepynt;2,3;3,4;;;535;3,110614525;3303.jpg;õrepynt,sterling sõlv,krok;;;;
2177;EL009L-550;ùreringer i sõlv;ùrepynt;;;;;500;3,801117318;3350.jpg;õrepynt,loop,rund,sterling sõlv;;;;
2178;EL027-450;Sirkel-õreringer i sõlv;ùrepynt;;;;;535;2,812513966;3357.jpg;õrepynt,sterling sõlv,loop,rund;;;;
2179;ELC014-400;ùreringer i sõlv med kors;ùrepynt;2,5;1,4;;;535;1,490502793;3371.jpg;õrepynt,sterling sõlv,loop,rund,kors;;;;
2180;EP018-250;Lange ear lines i sõlv med kors;ùrepynt;9,5;0,85;;;555;1,555307263;3362.jpg;õrepynt,sterling sõlv,pastrow,kors;;;;
2181;ES046-400;Sõlv-õredobber med inngravert mõnster;ùrepynt;;;;;555;2,091620112;3286.jpg;sterling sõlv,baller,õredobber,gravert,lõv;;;;
2182;ES055-350;Enkle õredobber i sõlv;ùrepynt;0,75;0,75;;;520;1,464134078;3313.jpg;õredobber,sterling sõlv,rund;;;;
2183;ES064-350;ùrepynt med sõlvkors;ùrepynt;1,25;1;;;535;1,58122905;3290.jpg;õredobber,kors;;;;
2184;ES077-300;Syklonformet sõlvanheng ;ùrepynt;1;1;;;535;2,345921788;3380.jpg|3383.jpg;õredobber,sterling sõlv,syklon;;;;
2185;ES094-420;ùrepynt i sõlv med zirkoner og onyx;ùrepynt;0,75;0,75;;;535;1,555307263;3308.jpg;õredobber,sterling sõlv,hjerte;;;;
2186;ES097-300;Hjerteanheng i sõlv;ùrepynt;0,75;0,75;;;535;1,81452514;3386.jpg|3388.jpg;õredobber,sterling sõlv,blomster,hjerte;;;;
2187;ESD019-400;ùrepynt i sõlv med perler;ùrepynt;2;0,75;;;555;2,681564246;3175.jpg;õredobber,sterling sõlv,perler,sommerfugl,zirkoner;;;;
2188;ESD029-650;ùrepynt;ùrepynt;1,5;1,1;;;575;2,951061453;3221.jpg|3233.jpg;õredobber,sterling sõlv,zirkoner,hjerte;;;;
2190;ESL012-700;SmÜ õreringer i sõlv;ùrepynt;;;;;575;2,646256983;3402.jpg;õrepynt,sterling sõlv,loop,zirkoner;;;;
2193;ESL023-450;ùrepynt i sõlv med zirkoner;ùrepynt;;;;;575;3,061899441;3391.jpg|3395.jpg;õrepynt,sterling sõlv,loop,zirkoner,hjerte;;;;
2198;ESLD001-850;ùrepynt i sõlv med hjerter;ùrepynt;1,25;2,75;;;575;4,932290503;3455.jpg;õrepynt,sterling sõlv,loop,zirkoner,hjerte;;;;
2200;ESLD003-650;ùreringer i sõlv med zirkoner;ùrepynt;3,75;1,25;;;575;5,486480447;3441.jpg;õrepynt,sterling sõlv,loop,zirkoner;;;;
2201;ESLD007 -800;ùrepynt i sõlv med kors;ùrepynt;2,8;1,4;;;575;4,378100559;3445.jpg|3446.jpg;õrepynt,sterling sõlv,loop,zirkoner,kors;;;;
2202;ESLD008-750;ùreringe med perler og zirkoner;ùrepynt;2,5;1,2;;;575;3,394413408;3422.jpg;õrepynt,sterling sõlv,loop,zirkoner,perler,fersken;;;;
2203;ESLD016-650;Svaneformet õrepynt i sõlv;ùrepynt;3,75;1,25;;;575;3,851620112;3405.jpg|3407.jpg|3409.jpg|3410.jpg;õrepynt,sterling sõlv,loop,zirkoner,svane;;;;
2204;ESLD017-650;ùreringer med hengende zirkoner;ùrepynt;2,5;1;;;555;3,231284916;3419.jpg;õrepynt,sterling sõlv,loop,zirkoner;;;;
2209;ESS008-550;Pusekatt-õrepynt i sõlv;ùrepynt;7,5;1;;;575;1,662569832;3340.jpg;õredobber,sterling sõlv,zirkoner,pusekatt;;;;
2211;ESS032-500;ùredobber i sõlv med zirkoner og krystaller;ùrepynt;;;;;610;4,277094972;3323.jpg|3325.jpg;õredobber,sterling sõlv,zirkoner,sorte krystaller,blomst;;;;
2212;ESS039-400;Sõlv-õredobber med zirkoner og krystaller;ùrepynt;1;1;;;595;2,946145251;3315.jpg|3320.jpg;õredobber,sterling sõlv,zirkoner,sorte krystaller,blomst;;;;
2213;ESS048-650;Perleõredobber i sõlv med zirkoner;ùrepynt;0,8;0,8;;;610;3,229944134;3328.jpg|3332.jpg;õredobber,sterling sõlv,zirkoner,kremfarget,perler;;;;
2244;KB0797 ;ArmbÜnd med perler;ArmbÜnd;;;20,5;;1140;6,699441341;2373.jpg;sõlvbelagt,armbÜnd,ferskvannsperler;;;;
2245;KB0800 ;ArmbÜnd med potetformede perler;ArmbÜnd;;;19;;1140;6,699441341;2507.jpg;sõlvbelagt,armbÜnd,ferskvannsperler;;;;
2246;KB0803 ;ArmbÜnd med grÜe ferskvannsperler;ArmbÜnd;;;21;;1140;6,698324022;2364.jpg;sõlvbelagt,armbÜnd,ferskvannsperler;;;;
2247;KB0816;ArmbÜnd med grÜe og kremfargede perler;ArmbÜnd;;;18;;1520;8,932960894;2364.jpg;sõlvbelagt,armbÜnd,ferskvannsperler;;;;
2248;KB0818;ArmbÜnd med ovale ferskvannsperler;ArmbÜnd;;;19;;1140;6,698324022;2500.jpg|2503.jpg;sõlvbelagt,armbÜnd,ferskvannsperler;;;;
2249;KB0868 ;Armring dekket med perler;ArmbÜnd;;;;;1520;8,932960894;2349.jpg;sõlvbelagt,armring,ferskvannsperler;;;;
2250;KB1046 ;ArmbÜnd med ferskvannsperler;ArmbÜnd;;;19;;570;3,347486034;2370.jpg;sõlvbelagt,armbÜnd,ferskvannsperler;;;;
2251;KB1054 ;ArmbÜnd med ferskvannsperler;ArmbÜnd;;;19;;760;4,463687151;2461.jpg;sõlvbelagt,armbÜnd,ferskvannsperler;;;;
2253;KE0831;ùrepynt med 3 hengende ferskvannsperler;ùrepynt;5;5;;;570;3,346368715;2494.jpg;sõlvbelagt,ferskvannsperler,õrepynt;;;;
2254;KE0892 ;Store õredobber med abalone skjell;ùrepynt;2,25;2,25;;;190;1,117318436;2432.jpg|2434.jpg|2436.jpg;baller,perlemor,õredobber;;;;
2255;KE0932;Sõlvbelagt õrepynt med perleklynge;ùrepynt;4,75;4,75;;;760;4,463687151;2443.jpg;sõlvbelagt,ferskvannsperler,õrepynt,krok;;;;
2256;KE0934 ;ùrepynt med ferskvanns tvillingperler;ùrepynt;5,5;5,5;;;570;3,346368715;2514.jpg|2520.jpg;sterling sõlv,kabel,õrepynt,ferskvannsperler,krok;;;;
2257;KE0935 ;ùrepynt med ferskvannsperle;ùrepynt;1,75;3;;;1900;11,16759777;2621.jpg|2627.jpg;sterling sõlv,krok,õrepynt,avlang,ferskvannsperler;;;;
2258;KE0937;ùrepynt med plummeformede ferskvannsperler;ùrepynt;3;3;;;1385;3,346368715;;sterling sõlv,krok,õrepynt,avlang,ferskvannsperler;;;;
2259;KE0939;ùrepynt med myntformede ferskvannsperler;ùrepynt;3;1,25;;;760;4,464804469;2448.jpg;sterling sõlv,solid,krok,õrepynt,mynt,ferskvannsperler;;;;
2260;KE0949;ùrepynt med drÜpeformede perler;ùrepynt;3,5;1;;;760;4,463687151;2616.jpg;sõlvbelagt,solid,krok,õredobber,avlang,ferskvannsperler;;;;
2261;KE0951;ùrepynt med potetformede ferskvannsperler;ùrepynt;2,75;1;;;760;4,463687151;2462.jpg|2482.jpg;sõlvbelagt,õrepynt,zirkoner,blomster,kremfarget,avlang,ferskvannsperler ;;;;
2262;KE0952 ;ùredobber med ferskvannsperler;ùrepynt;3;0,5;;;760;4,463687151;2449.jpg|2451.jpg|2454.jpg;sõlvbelagt,õredobber,zirkoner,drÜpe,kremfarget,avlang,ferskvannsperler ;;;;
2263;KE0955 ;Sõte perleõredobber;ùrepynt;0,75;0,75;;;380;4,463687151;2399.jpg;sõlvbelagt,õredobber,rund,ferskvannsperler ;;;;
2264;KE0957;ùredobber med ferskvannsperler;ùrepynt;1;1;;;760;4,463687151;2609.jpg|2655.jpg;sõlvbelagt,õredobber,rund,ferskvannsperler ;;;;
2265;KE0961;Sjõstjerne-õredobber;ùrepynt;1;1;;;760;4,463687151;2522.jpg|2530.jpg;sõlvbelagt,õredobber,rund,ferskvannsperler,stjernefisk;;;;
2266;KE0964 ;GrÜ ferskvannsperler pÜ sõlv-õrepynt;ùrepynt;2;2;;;760;4,463687151;2645.jpg|2651.jpg;sõlvbelagt,õredobber,rund,ferskvannsperler,blomster;;;;
2267;KE0972 ;ùrepynt i sõlv med kremfarget perle;ùrepynt;2;2;;;760;4,463687151;2660.jpg|2664.jpg|2666.jpg;sõlvbelagt,õredobber,rund,ferskvannsperler,blomster;;;;
2268;KE0976 ;ùreringer med to ferskvannsperler;ùrepynt;1;1,5;;;760;4,463687151;2538.jpg;sõlvbelagt,õredobber,rund,ferskvannsperler;;;;
2270;KE1205;ùredobber med ferskvannsperle;ùrepynt;1;0,5;;;270;15,63687151;2628.jpg|2632.jpg|2634.jpg|2642.jpg;sõlvbelagt,õredobber,rund,ferskvannsperler;;;;
2271;KE1208;ùredobber med cabochon ferskvannsperler;ùrepynt;1,25;1,25;;;760;4,463687151;2396.jpg;sõlvbelagt,õredobber,rund,ferskvannsperler;;;;
2272;KN0790 ;Kjede med ferskvannsperler;Kjeder og Anheng;;;47;;1520;8,932960894;2393.jpg;silke,kremfarget,avlang,ferskvannsperler,õye,kjede;;;;
